Symbol,Tag,Strike,Price,Barone-Adesi Whaley,Bjerksund Stensland,Cox-Ross-Rubenstein,Jarrow-Rudd,Equal Probabilities,Trigeorgis,Tian,Leisen-Reimer
MMM,MMM180119C00155000,155.00,20.75,38.6340044226256,38.6340044226256,38.63325929669892,38.63816333129798,38.56423518834866,38.638461243868626,38.634261524778424,38.63400359031708
MMM,MMM180119C00160000,160.00,19.30,35.74385916089677,35.74385916089677,35.74517408747553,35.74029567820131,35.674216786395895,35.740598392191636,35.738752148145686,35.74385809543887
MMM,MMM180119C00165000,165.00,15.25,33.014420321764625,33.014420321764625,33.020205302606385,33.01580405229719,32.948522240275615,33.016112254345245,33.01753648857831,33.014419047814016
MMM,MMM180119C00170000,170.00,13.05,30.44455834143418,30.44455834143418,30.447256781935494,30.449852646910255,30.375034881223662,30.450163334380235,30.448188022110312,30.444556890089494
MMM,MMM180119C00175000,175.00,10.30,28.031918844662748,28.031918844662748,28.026119237392244,28.03515617973106,27.953562959669174,28.035468423885852,28.030424229521138,28.03191725167988
MMM,MMM180119C00180000,180.00,8.80,25.773081746178793,25.773081746178793,25.773315217204907,25.770265212047793,25.700761690880828,25.770578014619897,25.766807866705857,25.7730800502836
MMM,MMM180119C00185000,185.00,6.84,23.66372376325613,23.66372376325613,23.668322650166417,23.657528222683844,23.596128144862412,23.657836916100432,23.6642597831211,23.663722004286605
MMM,MMM180119C00190000,190.00,5.76,21.698778511132005,21.698778511132005,21.704988827423833,21.69781855991506,21.633400962009766,21.69812456769391,21.70301846104116,21.69877672871325
MMM,MMM180119C00195000,195.00,4.45,19.87258969932143,19.87258969932143,19.878815007925382,19.874466567553508,19.808083894646494,19.874768769387394,19.878557975868482,19.872587931502554
MMM,MMM180119C00200000,200.00,3.40,18.179054174751066,18.179054174751066,18.184590711390754,18.182245007404624,18.114965278578175,18.182542291441468,18.185652483498536,18.179052457071354
MMM,MMM180119C00210000,210.00,2.01,15.164066711046402,15.164066711046402,15.168317977721664,15.16757084213053,15.101627490596634,15.167855074667493,15.170831602226414,15.1640651860574
MMM,MMM180119C00220000,220.00,1.20,12.600676650445067,12.600676650445067,12.6049385218045,12.602879634483047,12.542073679538653,12.603146889558754,12.607430290084986,12.600675413759081
AXP,AXP180119C00027500,27.50,32.00,41.06843526675247,41.06843526675247,41.06789506341764,41.067969162880125,41.06675454136681,41.067969361792045,41.06790186278015,41.06843549984992
AXP,AXP180119C00030000,30.00,34.20,38.864609279339604,38.864609279339604,38.86404671787274,38.86390760489653,38.86288886061821,38.86390780680916,38.864052139677526,38.86460957554457
AXP,AXP180119C00032500,32.50,31.09,36.694396592501086,36.694396592501086,36.69427705429075,36.69425658581883,36.69308402225735,36.69425679381893,36.69353031501246,36.694396937854634
AXP,AXP180119C00035000,35.00,23.50,34.56666385835577,34.56666385835577,34.565965066403606,34.56568527064154,34.56474168415541,34.565685483905746,34.565891812580325,34.566664230390366
AXP,AXP180119C00037500,37.50,18.85,32.49015416796646,32.49015416796646,32.489475463867834,32.48977693257374,32.488195660555824,32.489777155620644,32.48858749792924,32.490154538502026
AXP,AXP180119C00040000,40.00,26.10,30.473071802602075,30.473071802602075,30.47287964875886,30.47315455896592,30.471555372384998,30.47315478974184,30.470692609606967,30.473072141057823
AXP,AXP180119C00042500,42.50,15.10,28.52275947913948,28.52275947913948,28.522475927913224,28.5228664944524,28.521102705180574,28.52286673374322,28.520366485075982,28.52275975573447
AXP,AXP180119C00045000,45.00,20.85,26.64547661914415,26.64547661914415,26.643887743309588,26.644616135040316,26.642462654924888,26.64461638336336,26.644099768074074,26.645476807556115
AXP,AXP180119C00047500,47.50,16.85,24.846273501137315,24.846273501137315,24.846342812404995,24.845700208680412,24.844891356224313,24.845700461624354,24.846041066658383,24.846273580416202
AXP,AXP180119C00050000,50.00,17.30,23.128948140131175,23.128948140131175,23.130502880005622,23.13050914128389,23.128999468476557,23.130509403295058,23.127517897220617,23.128948095826452
