Symbol,Option name,Strike,Price,BaroneAdiseWhaely,BjerksundStensland,FDAmericanEngine,jr,crr,eqp,trigeorgis,tian,lr
MMM,MMM160701P00167500,167.5,2.32,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45
MMM,MMM160701P00170000,170,3.3,72.94,72.94,72.94,72.94,72.94,72.94,72.94,72.94,72.94
MMM,MMM160701P00175000,175,5.5,77.95,77.95,77.95,77.95,77.95,77.95,77.95,77.95,77.95
MMM,MMM160701P00177500,177.5,7.5,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45
MMM,MMM160708P00150000,150,0.24,52.95,52.95,52.95,52.95,52.95,52.95,52.95,52.95,52.95
MMM,MMM160708P00152500,152.5,0.35,55.45,55.45,55.45,55.45,55.45,55.45,55.45,55.45,55.45
MMM,MMM160708P00157500,157.5,0.69,60.45,60.45,60.45,60.45,60.45,60.45,60.45,60.45,60.45
MMM,MMM160708P00160000,160,0.96,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95
MMM,MMM160708P00170000,170,3.6,72.95,72.95,72.95,72.95,72.95,72.95,72.95,72.95,72.95
MMM,MMM160708P00172500,172.5,5,75.45,75.45,75.45,75.45,75.45,75.45,75.45,75.45,75.45
MMM,MMM160715P00080000,80,0.03,0,0,0,0,0,0,0,0,0
MMM,MMM160715P00085000,85,0.01,0,0,0,0,0,0,0,0,0
MMM,MMM160715P00090000,90,0.01,0,0,0,0,0,0,0,0,0
MMM,MMM160715P00095000,95,0.01,0.121,0.12,0.12,0.121,0.12,0.12,0.12,0.121,0.12
MMM,MMM160715P00100000,100,0.02,2.977,2.977,2.981,2.981,2.981,2.981,2.981,2.981,2.981
MMM,MMM160715P00105000,105,0.02,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95
MMM,MMM160715P00110000,110,0.03,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94
MMM,MMM160715P00115000,115,0.05,17.94,17.94,17.94,17.94,17.94,17.94,17.94,17.94,17.94
MMM,MMM160715P00120000,120,0.05,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95
MMM,MMM160715P00125000,125,0.11,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95
MMM,MMM160715P00130000,130,0.13,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95
MMM,MMM160715P00135000,135,0.11,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94
MMM,MMM160715P00140000,140,0.17,42.94,42.94,42.94,42.94,42.94,42.94,42.94,42.94,42.94
MMM,MMM160715P00145000,145,0.31,47.94,47.94,47.94,47.94,47.94,47.94,47.94,47.94,47.94
MMM,MMM160715P00150000,150,0.38,52.94,52.94,52.94,52.94,52.94,52.94,52.94,52.94,52.94
MMM,MMM160715P00155000,155,0.55,57.94,57.94,57.94,57.94,57.94,57.94,57.94,57.94,57.94
MMM,MMM160715P00160000,160,1.05,62.94,62.94,62.94,62.94,62.94,62.94,62.94,62.94,62.94
MMM,MMM160715P00165000,165,2.12,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94
MMM,MMM160715P00170000,170,3.7,72.94,72.94,72.94,72.94,72.94,72.94,72.94,72.94,72.94
MMM,MMM160715P00175000,175,6.85,77.94,77.94,77.94,77.94,77.94,77.94,77.94,77.94,77.94
MMM,MMM160715P00180000,180,13.2,82.94,82.94,82.94,82.94,82.94,82.94,82.94,82.94,82.94
MMM,MMM160715P00185000,185,18.6,87.94,87.94,87.94,87.94,87.94,87.94,87.94,87.94,87.94
MMM,MMM160715P00230000,230,76.05,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94
MMM,MMM161021P00080000,80,0.1,0,0,0,0,0,0,0,0,0
MMM,MMM161021P00085000,85,0.25,0,0,0,0,0,0,0,0,0
MMM,MMM161021P00090000,90,0.18,0,0,0,0,0,0,0,0,0
MMM,MMM161021P00095000,95,0.23,0.121,0.12,0.12,0.121,0.12,0.12,0.12,0.121,0.12
MMM,MMM161021P00100000,100,0.4,2.977,2.977,2.981,2.981,2.981,2.981,2.981,2.981,2.981
MMM,MMM161021P00105000,105,0.27,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95
MMM,MMM161021P00110000,110,0.34,12.95,12.95,12.95,12.95,12.95,12.95,12.95,12.95,12.95
MMM,MMM161021P00115000,115,0.46,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95
MMM,MMM161021P00120000,120,0.51,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95
MMM,MMM161021P00125000,125,0.89,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95
MMM,MMM161021P00130000,130,0.81,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95
MMM,MMM161021P00135000,135,1.01,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95
MMM,MMM161021P00140000,140,1.25,42.95,42.95,42.95,42.95,42.95,42.95,42.95,42.95,42.95
MMM,MMM161021P00145000,145,1.63,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95
MMM,MMM161021P00150000,150,2.3,52.95,52.95,52.95,52.95,52.95,52.95,52.95,52.95,52.95
MMM,MMM161021P00155000,155,3.15,57.95,57.95,57.95,57.95,57.95,57.95,57.95,57.95,57.95
MMM,MMM161021P00160000,160,4.25,62.94,62.94,62.94,62.94,62.94,62.94,62.94,62.94,62.94
MMM,MMM161021P00165000,165,5.55,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94
MMM,MMM161021P00170000,170,7.55,72.94,72.94,72.94,72.94,72.94,72.94,72.94,72.94,72.94
MMM,MMM161021P00175000,175,11.4,77.94,77.94,77.94,77.94,77.94,77.94,77.94,77.94,77.94
