Symbol,Tag,Strike,Price,Barone-Adesi Whaley,Bjerksund Stensland,Cox-Ross-Rubenstein,Jarrow-Rudd,Equal Probabilities,Trigeorgis,Tian,Leisen-Reimer
AAPL,AAPL160610C00093500,93.50,4.35,5.204572258748919,5.204572258748919,5.204823391124326,5.204988366294649,5.205268810551368,5.204988575458921,5.2049326022108255,5.204572227685651
AAPL,AAPL160610C00094000,94.00,4.03,4.8231283394168845,4.8231283394168845,4.8226278048762845,4.823238186778238,4.823093783952531,4.823238405395358,4.8233633843041055,4.823128282932634
AAPL,AAPL160610C00094500,94.50,3.60,4.455878418884879,4.455878418884879,4.456071649402312,4.455424919377597,4.4565757166717415,4.455425155655459,4.4553279611122925,4.455878337234076
AAPL,AAPL160610C00095000,95.00,3.17,4.1035609246127205,4.1035609246127205,4.10413666533816,4.103937482635961,4.104657748698443,4.10393772665028,4.10372110654484,4.103560818914541
AAPL,AAPL160610C00095500,95.50,2.66,3.76682528755508,3.76682528755508,3.7671533466497102,3.767426865258795,3.7676897656534676,3.767427116204049,3.767405574625487,3.7668251597606037
AAPL,AAPL160610C00096000,96.00,2.21,3.446219346480228,3.446219346480228,3.4456479900551216,3.4464129454101737,3.4461978359300747,3.4464132023768643,3.446595186030797,3.446219199326609
AAPL,AAPL160610C00096500,96.50,1.84,3.1421789269867144,3.1421789269867144,3.1424059190834708,3.1416109280221405,3.1429760875940222,3.1416111942189446,3.1417175306491854,3.1421787638829524
AAPL,AAPL160610C00097000,97.00,1.46,2.8550199227738746,2.8550199227738746,2.8557074933326545,2.855385623763498,2.85628422366329,2.85538589274494,2.855123953432981,2.855019747699231
AAPL,AAPL160610C00097500,97.50,1.17,2.5849331087460445,2.5849331087460445,2.5854966749261883,2.585649683157729,2.5860773985747962,2.5856499537194266,2.5855876064040957,2.58493292607955
AAPL,AAPL160610C00098000,98.00,0.89,2.331981809090762,2.331981809090762,2.3318650376104215,2.3324874275509457,2.332447104657568,2.332487698454706,2.332623154152942,2.3319816234646
AAPL,AAPL160610C00098500,98.50,0.65,2.096102434399139,2.096102434399139,2.095851202061894,2.095875132729562,2.0964278760379473,2.0958754027216093,2.096203855293522,2.0961022504829754
AAPL,AAPL160610C00099000,99.00,0.45,1.877107795932121,1.877107795932121,1.8775705301121661,1.8769354241911942,1.878140502848033,1.8769356889065798,1.8765685027231758,1.8771076182666038
AAPL,AAPL160610C00099500,99.50,0.33,1.6746930075581528,1.6746930075581528,1.6753767905654733,1.6751677692531162,1.6759374819524169,1.6751680293828835,1.6749826222050557,1.6746928404357868
AAPL,AAPL160610C00100000,100.00,0.22,1.4884437011957758,1.4884437011957758,1.4889114873034865,1.4891039301783902,1.4894604319539542,1.489104184589221,1.489090462425893,1.4884435484654583
AAPL,AAPL160610C00101000,101.00,0.11,1.1622993500556797,1.1622993500556797,1.1618364162848622,1.162195588641536,1.1623369772123324,1.1621958285208498,1.1624872710725997,1.1622992353974535
AAPL,AAPL160610C00102000,102.00,0.07,0.893593330111885,0.893593330111885,0.894024107725786,0.8936800471188561,0.8944835799883359,0.8936802591626348,0.8934808036503472,0.8935932613641264
AAPL,AAPL160610C00103000,103.00,0.05,0.6762712845097388,0.6762712845097388,0.67646744203111,0.6766623224134859,0.6768810753559047,0.6766625129021859,0.6766962200303707,0.6762712637848043
AAPL,AAPL160610C00104000,104.00,0.03,0.5037446177013448,0.5037446177013448,0.5031699239952298,0.503655744835016,0.5035105094499407,0.5036559126499045,0.5038614113276518,0.5037446418742672
AAPL,AAPL160610C00105000,105.00,0.03,0.36930215851027093,0.36930215851027093,0.3693540608610608,0.3690160050910283,0.3696460073142137,0.36901613897785784,0.36885928359809933,0.3693022204255988
AAPL,AAPL160610C00106000,106.00,0.02,0.26645904090488876,0.26645904090488876,0.26657254753045334,0.26652749351776467,0.26681791570494323,0.26652760581165236,0.2664969792541602,0.2664591309411058
AAPL,AAPL160610C00107000,107.00,0.02,0.18922163747053397,0.18922163747053397,0.1891254433944429,0.1892695748892124,0.18932762816002371,0.18926966723044716,0.1893209811091856,0.18922174514968926
AAPL,AAPL160610C00108000,108.00,0.03,0.13226178265953079,0.13226178265953079,0.13188392638955349,0.13213413772517577,0.13204725936178457,0.13213421217040378,0.1322320168805784,0.13226189801943686
AAPL,AAPL160610C00109000,109.00,0.02,0.09100547223044693,0.09100547223044693,0.0908542043722313,0.09068351258717608,0.09096846319663535,0.09068357142574814,0.09080135522410983,0.09100558681480538
