Symbol,Tag,Strike,Real,Barone-Adesi Whaley,Bjerksund-Stensland,FDAmerican,Cox-Ross-Rubenstein,Jarrow-Rudd,Equal Probabilities,Trigeorgis,Tian,Leisen-Reimer
PFE,PFE160722C00034500,34.5,1.04,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214
PFE,PFE160722C00035000,35,0.61,0,0,0,0,0,0,0,0,0
PFE,PFE160722C00035500,35.5,0.41,0,0,0,0,0,0,0,0,0
PFE,PFE160722C00036500,36.5,0.14,0,0,0,0,0,0,0,0,0
PFE,PFE160819C00029000,29,5.25,5.709,5.709,5.709,5.709,5.709,5.709,5.709,5.709,5.709
PFE,PFE160819C00030000,30,4.83,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71
PFE,PFE160819C00031000,31,3.75,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711
PFE,PFE160819C00032000,32,3.16,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712
PFE,PFE160819C00033000,33,2.14,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713
PFE,PFE160819C00034000,34,1.43,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
PFE,PFE160819C00035000,35,0.83,0,0,0,0,0,0,0,0,0
PFE,PFE160819C00036000,36,0.47,0,0,0,0,0,0,0,0,0
PFE,PFE160819C00037000,37,0.21,0,0,0,0,0,0,0,0,0
PFE,PFE160819C00038000,38,0.1,0,0,0,0,0,0,0,0,0
PFE,PFE160819C00039000,39,0.04,0,0,0,0,0,0,0,0,0
PFE,PFE160819C00040000,40,0.02,0,0,0,0,0,0,0,0,0
PFE,PFE160819C00041000,41,0.02,0,0,0,0,0,0,0,0,0
PFE,PFE160916C00016000,16,17.63,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696
PFE,PFE160916C00018000,18,15.63,16.698,16.698,16.698,16.698,16.698,16.698,16.698,16.698,16.698
